LANGUAGE,Srpski
msg_newlogin,\n- Dupli klik na ime da vidiš informacije o igraču. (Takođe [***] u prozoru za ćaskanje)\n- Dupli klik na partije da bi gledali.\n- Odigrajte 5 rangiranih partija i vaš rejting će biti određen.
msg_host,Vi ste domaćin moda proučavanja. Vaša tabla se deli.
msg_subhost, Vi ste pod-domaćin moda proučavanja. Možete pomerati domaćinove figure.
msg_subhost_given,Dobili ste status pod-domaćina. Možete pomerati domaćinove figure.
msg_study_notify,Pozicija se promenila. Vratite se na mod slušanja da biste je videli.
msg_rated,Partija je rangirana.\nIgrači NE MOGU videti ćaskanje posmatrača dok se partija ne završi.\nPosmatrač može poslati privatnu poruku igračima, ali će ostali biti obavešteni o tome.
msg_nonrated,Ova partija je nerangirana.\nIgrači MOGU videti ćaskanje posmatrača čak i tokom partije.
msg_disconnect,Protivnik otišao.
msg_illegal,Nemoguć potez.
msg_perpetual,Nedozvoljen večni šah.
msg_repetition,Sennichite. (Četvorostruko ponavljanje)
msg_lag,Tvoj tajmer kasni više od 5 sekundi zbog učitavanja CPU-a. Do vašeg poraza usled isteka vremena može doći pre nego što vaš tajmer dođe do nule.
msg_disconnect_alert1,Možete proglasiti pobedu nakon 30 sekundi ili nastaviti da čekate.
msg_disconnect_alert2,Pobeda se automatski proglašava nakon 300 sekundi.
msg_addlist,Privremeno dodato u listu. Idite na Opcije da podesite permanentno ili poništite.
msg_addlist_favorite,Privremeno dodatu u omiljenu listu. Idite na Opcije da podesite permanentno ili poništite.
msg_addlist_block,Privremeno dodatu u blok listu. Idite na Opcije da podesite permanentno ili poništite.
C000,Protivnik izaziva/poziva nekog drugog.
C001,Nemoguće izazvati jer uskoro sledi održavanje server.
C002,Protivnik već započinje partiju.
C003,Protivnik nije odgovorio u roku.
C004,Protivnik je odbio vaš izazov.
C005,Izazov prihvaćen!
C010, trenutno ne prihvata pozivnice.
C011, već igra partiju.
C012, već izaziva/poziva nekog drugog.
C013, nije odgovorio u roku.
C014, je odbio pozivnicu.
C015, je odbio pozivnicu. (Zauzet)
C016, je odbio pozivnicu. (Više voli druga pravila)
C017, je odbio pozivnicu. (Više voli kraće partije)
C018, je odbio pozivnicu. (Više voli duže partije)
C019, je odbio pozivnicu. (Više voli rangirane partije)
C020, je odbio pozivnicu. (Čeka nekog drugog)
G000,: Napušta poziciju domaćina.
G001,: Vratio se na poziciju domaćina.
G002,
G003,: Obrisao grananje.
G010,: Figure vraćene na normalno.
G011,: Figure podešene na slepe, srednja težina.
G012,: Figure podešene na slepe, visoka težina.
G013,: Figure podešene na slepe, ekstremna težina.
G014, igra slepim figurama, srednja težina.
G015, igra slepim figurama, visoka težina.
G016, igra slepim figurama, ekstremna težina.
G050,: Čeka revanš.
G100,: Blokirano ćaskanje posmatrača.
G101,: Prihvatanje ćaskanja posmatrača.
G102, trenutno blokira ćaskanje posmatrača.
P000, je poslao privatnu poruku protivniku.
L000,Korisničko ime ili lozinka pogrešni.
L001,Nemoguć Login.
L002,Override login neuspešan.
L003,Login neuspešan.
V000,Direktno glasovno ćaskanje konektovano!
V001,ovo javno glasovno ćaskanje primljeno!
V002,Prestani da slušaš.
V003,Zahtev za konekciju na javno glasovno ćaskanje...
