LANGUAGE,Deutsch
give_subhost,Mitspiel-Status geben
set_rate,Rang setzen
rated,Gewertet
nonrated,Ungewertet
min,Min
sec,Sek
hc_even,Gleichauf
hc_fixed,Anzugsvorteil
hc_lance,Lanze Vorgabe
hc_bishop,Läufer Vorgabe
hc_rook,Turm Vorgabe
hc_rooklance,Turm/Lanze Vorgabe
hc_rooksilver,Turm/Silber Vorgabe
hc_2p,2-Steine Vorgabe
hc_4p,4-Steine Vorgabe
hc_6p,6-Steine Vorgabe
hc_8p,8-Steine Vorgabe
hc_tombo,Libelle
hc_10p,10-Steine Vorgabe
hc_3pawns,Drei Bauern
hc_naked,Blanker König
hc_openair,Open-air Shogi
hc_mini,Mini Shogi
hc_56,GoroGoro Shogi
hc_zoo,Catch the Lion
hc_33,3x3 Shogi
tournament,Offizielles Turnier
study_room,Studierraum
load_kifu,Laden
comment,Kommentar
private_room,Privater Spielraum
enter_pass,Passwort eingeben.
pass_invalid,Falsche Passwort. Zugriff verwehrt.
declare,Sieg reklamieren
entered_impasse,Vorgerückt
pieces_impasse,Figuren
points_impasse,Punkte
error,Fehler
tendency,Tendenz
rate_history,Rating Verlauf
data_table,Daten Tabelle
status,Status
msg_newlogin,\n- Doppelklick auf Spielernamen, um Details zu sehen. (Auch im Chat-Fenster möglich)\n- Doppelklick auf Partie, um sie zu beobachten.\n- Dein Rang wird dir zugeteilt, wenn du 5 gewertete Partien gespielt hast.
msg_guestlogin,- Das orange ◆ Symbol auf der Spielerliste links, zeigt deinen Gast Account an.\n- Um eine Partie und die Spieler Info zu sehen, doppelklicke auf den Eintrag in der Liste.\n- Gäste können nur eingeschränkt die Funktionen auf 81Dojo nutzen. Hier ein Überblick der Funktionen von Gäste und registierten Spielern. --> http://81dojo.com/documents/Guest_Login_System
msg_host,Du bist jetzt der Leiter des Analyse-Modus. Dein Brett wird veröffentlicht.
msg_subhost,Du bist ein Helfer des Analyse-Modus. Du kannst auch für andere sichtbar die Figuren ziehen.
msg_subhost_given,Du bist jetzt ein Helfer des Analyse-Modus. Du kannst jetzt auch für andere sichtbar die Figuren ziehen.
msg_study_notify,Die Stellung des Analyse-Modus hat sich verändert. Wähle 'Aktuelle Position' um sie zu sehen.
msg_rated,Diese Partie wird gewertet.\nDie Spieler können die Chats der Beobachter NICHT lesen, bis das Spiel beendet ist.\nBeobachter können PMs an die Spieler schicken, was den anderen mitgeteilt wird.
msg_nonrated,Diese Partie wird nicht gewertet.\nDie Spieler KÖNNEN die Chats der Beobachter lesen, auch wenn das Spiel gerade gespielt wird.
msg_disconnect,Gegner hat die Verbindung verloren.
msg_disconnect_self,Die Verbindung zum Server ist getrennt. Das Applet ist nicht mehr aktiv. Bitte lade das Applet neu.\nMöchtest du die Seite sofort neu laden?
msg_illegal,Illegaler Zug.
msg_perpetual,Illegales ewiges Schach.
msg_repetition,Sennichite. (Stellungswiederholung)
msg_lag,Deine Verbindung ist aufgrund PC-Belastung langsamer als 5 Sekunden. Es kann passieren, dass du auf Zeit verlierst, bevor deine Zeit abgelaufen ist.
msg_disconnect_alert1,Du darfst nach 30 Sekunden warten den Sieg reklamieren, oder kannst weiter auf den Gegner warten.
msg_disconnect_alert2,Allerdings wird der Sieg nach 300 Sekunden automatisch reklamiert.
msg_addlist,Ist vorübergehend in die Liste hinzugefügt. Gehe zum Optionen-Fenster, um es dauerhaft zu speichern.
msg_addlist_favorite,Ist vorübergehend in die Favorit-Liste hinzugefügt. Gehe zum Optionen-Fenster, um es dauerhaft zu speichern.
msg_addlist_block,Ist vorübergehend in die Block-Liste hinzugefügt. Gehe zum Optionen-Fenster, um es dauerhaft zu speichern.
msg_before_upgrade,Du hast eine Chance auf eine Rang Beförderung. Gewinne gegen jemanden mit einem festen Rating, welches höher als deines ist (deines - 200), und du wirst befördert
msg_before_downgrade,Deine Wertung ist nun am unteren Ende des Ranges. Du wirst zurückgestuft, solltest du das nächste Spiel verlieren.
msg_guest_expire,Die Anzahl an Spielen hat ihr Limit erreicht. Bitte registriere einen Benutzer (kostenlos) um weiter spielen zu können.
C000,Der Gegner ist gerade dabei, jemand anderen herauszufordern oder einzuladen.
C001,Derzeit sind keine Forderungen möglich, da in kürze Wartungsarbeiten durchgeführt werden.
C002,Der Gegner hat schon eine Partie begonnen.
C003,Der Gegner hat nicht rechtzeitig geantwortet.
C004,Der Gegner hat deine Herausforderung abgelehnt.
C005,Herausforderung angenommen!
C006,Du hast eine Herausforderung erhalten, aber er/sie hat diese abgebrochen.
C007,Gegner hat die Verbindung abgebrochen.
C010, nimmt derzeit keine Einladungen an.
C011, hat schon eine Partie begonnen.
C012, ist gerade dabei, jemand anderen herauszufordern oder einzuladen.
C013, hat nicht rechtzeitig geantwortet.
C014, hat deine Herausforderung abgelehnt.
C015, hat deine Herausforderung abgelehnt. (Beschäftigt)
C016, hat deine Herausforderung abgelehnt. (Andere Regeloptionen gewünscht)
C017, hat deine Herausforderung abgelehnt. (Kürzeres Spiel gewünscht)
C018, hat deine Herausforderung abgelehnt. (Längeres Spiel gewünscht)
C019, hat deine Herausforderung abgelehnt. (Gewertetes Spiel gewünscht)
C020, hat deine Herausforderung abgelehnt. (Auf jemand anderen wartend)
G000,: Brett des Spielleiters verlassen.
G001,: Zurück zum Brett des Spielleiters.
G002,
G003,: Variantenzüge gelöscht.
G004,: Lade eine neue Position...
G010,: Standardsteine wieder auswählen.
G011,: Unsichtbare Steine 'Normal' auswählen.
G012,: Unsichtbare Steine 'Schwer' auswählen.
G013,: Unsichtbare Steine 'Extrem' auswählen.
G014, spielt mit unsichtbaren Steinen 'Normal'.
G015, spielt mit unsichtbaren Steinen 'Schwer'.
G016, spielt mit unsichtbaren Steinen 'Extrem'.
G020, wird befördert wenn er dieses Spiel gewinnt.
G021, wird zurückgestuft wenn er dieses Spiel verliert.
G050,: Bereit für eine Revanche.
G100,: Chats von Beobachtern blockierend.
G101,: Chats von Beobachtern empfangend.
G102, blockiert jetzt Chats von Beobachtern.
P000, hat an deinen Gegner eine PM gesendet.
L000,Falscher Name oder Passwort.
L001,Anmeldung nicht möglich.
L002,Überschreibendes Login fehlt.
L003,Anmeldung misslungen.
L004,Account nicht aktiviert.
L005,Verbindung zum Server fehlgeschlagen.
T000,Was war der Schlüsselzug?
T001,Entschuldige, dass ich die Analyse verlasse.
T002,Danke für die Partie. Wünsche einen schönen Tag.
T003,Können wir vom Anfang an analysieren?
T004,Können wir das Spiel ein bisschen analysieren?
T005,Was wäre der Richtig Zug hier gewesen?
T006,Was ist mit diesem Zug?
T007,Diese Position scheint besser für mich zu sein.
T008,Diese Position scheint gleichwertig zu sein.
T009,Dies ist ein weiteres ausgeglichenes Spiel.
T010,Diese Position scheint nicht einfach für mich zu sein.
T011,Diese Position scheint schlecht für mich zu sein.
T012,Entschuldigung für die Unterbrechung der Analyse, aber ich muss nun leider gehen.
T013,Es wird leider Zeit das ich gehen muss.
T014,Können wir noch ein Spiel spielen?
V000,Mit Audio-Chat verbunden!
V001,s öffentlichen Audio-Chat empfangen!
V002,Audio-Chat Empfang beenden.
V003,Verbindung zu öffentlichem Audio-Chat anfordern...
V004,Erlaubnis um Empfang des Audio-Chats angefragt.
